Tarifa,Descripción,Cargo,Unidades,Estado,Municipio,Division,ENERO
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,TONALA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,TOTOLAPA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,TOTOLAPA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,TUMBALA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,TUMBALA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,TUXTLA CHICO,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,TUXTLA CHICO,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,TUXTLA GUTIERREZ,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,TUXTLA GUTIERREZ,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,TUZANTAN,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,TUZANTAN,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,TZIMOL,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,TZIMOL,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,UNION JUAREZ,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,UNION JUAREZ,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,VENUSTIANO CARRANZA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,VENUSTIANO CARRANZA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,VILLA COMALTITLAN,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,VILLA COMALTITLAN,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,VILLA CORZO,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,VILLA CORZO,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,VILLAFLORES,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,VILLAFLORES,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,YAJALON,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,YAJALON,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,ZINACANTAN,SURESTE,58.51
