Tarifa,Descripción,Cargo,Unidades,Estado,Municipio,Division,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR,235.01,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA SUR,LA PAZ,BAJA CALIFORNIA SUR,535.8,535.8,535.8,535.8,535.8,535.8
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA SUR,LA PAZ,BAJA CALIFORNIA SUR,2.704,2.725,2.725,2.801,2.86,2.777
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,BAJA CALIFORNIA SUR,LA PAZ,BAJA CALIFORNIA SUR,211.95,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,BAJA CALIFORNIA SUR,LA PAZ,BAJA CALIFORNIA SUR,235.01,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA SUR,LORETO,BAJA CALIFORNIA SUR,535.8,535.8,535.8,535.8,535.8,535.8
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA SUR,LORETO,BAJA CALIFORNIA SUR,2.704,2.725,2.725,2.801,2.86,2.777
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,BAJA CALIFORNIA SUR,LORETO,BAJA CALIFORNIA SUR,211.95,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,BAJA CALIFORNIA SUR,LORETO,BAJA CALIFORNIA SUR,235.01,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA SUR,LOS CABOS,BAJA CALIFORNIA SUR,535.8,535.8,535.8,535.8,535.8,535.8
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA SUR,LOS CABOS,BAJA CALIFORNIA SUR,2.704,2.725,2.725,2.801,2.86,2.777
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,BAJA CALIFORNIA SUR,LOS CABOS,BAJA CALIFORNIA SUR,211.95,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,BAJA CALIFORNIA SUR,LOS CABOS,BAJA CALIFORNIA SUR,235.01,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA SUR,MULEGE,BAJA CALIFORNIA SUR,535.8,535.8,535.8,535.8,535.8,535.8
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA SUR,MULEGE,BAJA CALIFORNIA SUR,2.704,2.725,2.725,2.801,2.86,2.777
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,BAJA CALIFORNIA SUR,MULEGE,BAJA CALIFORNIA SUR,211.95,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,BAJA CALIFORNIA SUR,MULEGE,BAJA CALIFORNIA SUR,235.01,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CAMPECHE,CALAKMUL,PENINSULAR,410.63,410.63,410.63,410.63,410.63,410.63
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,CALAKMUL,PENINSULAR,1.87,1.885,1.885,1.936,1.975,1.919
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CAMPECHE,CALAKMUL,PENINSULAR,324.9,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CAMPECHE,CALAKMUL,PENINSULAR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CAMPECHE,CALKINI,PENINSULAR,410.63,410.63,410.63,410.63,410.63,410.63
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,CALKINI,PENINSULAR,1.87,1.885,1.885,1.936,1.975,1.919
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CAMPECHE,CALKINI,PENINSULAR,324.9,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CAMPECHE,CALKINI,PENINSULAR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CAMPECHE,CAMPECHE,PENINSULAR,410.63,410.63,410.63,410.63,410.63,410.63
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,CAMPECHE,PENINSULAR,1.87,1.885,1.885,1.936,1.975,1.919
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CAMPECHE,CAMPECHE,PENINSULAR,324.9,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CAMPECHE,CAMPECHE,PENINSULAR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CAMPECHE,CANDELARIA,PENINSULAR,410.63,410.63,410.63,410.63,410.63,410.63
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,CANDELARIA,PENINSULAR,1.87,1.885,1.885,1.936,1.975,1.919
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CAMPECHE,CANDELARIA,PENINSULAR,324.9,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CAMPECHE,CANDELARIA,PENINSULAR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CAMPECHE,CARMEN,PENINSULAR,410.63,410.63,410.63,410.63,410.63,410.63
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,CARMEN,PENINSULAR,1.87,1.885,1.885,1.936,1.975,1.919
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CAMPECHE,CARMEN,PENINSULAR,324.9,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CAMPECHE,CARMEN,PENINSULAR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CAMPECHE,CHAMPOTON,PENINSULAR,410.63,410.63,410.63,410.63,410.63,410.63
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,CHAMPOTON,PENINSULAR,1.87,1.885,1.885,1.936,1.975,1.919
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CAMPECHE,CHAMPOTON,PENINSULAR,324.9,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CAMPECHE,CHAMPOTON,PENINSULAR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CAMPECHE,ESCARCEGA,PENINSULAR,410.63,410.63,410.63,410.63,410.63,410.63
